as.character(comp),Name,Protein_Classification,
Compound_11,DNA damage-inducible transcript 3 protein,Other,O=S(C1=CC=C(NC(C2=CC=C([N+]([O-])=O)O2)=O)C=C1)(N3CCC(Cl)CC3)=O
Compound_11,DNA damage-inducible transcript 3 protein,Other,O=S(C1=CC=C(NC(C2=CC=C([N+]([O-])=O)O2)=O)C=C1)(N3CCC(Cl)CC3)=O
Compound_12,Carbonic anhydrase XIV,Lyases,OC1=CC(C(O)=O)=CC=C1O
Compound_12,Carbonic anhydrase XIV,Lyases,OC1=CC(C(O)=O)=CC=C1O
Compound_12,Carbonic anhydrase VI,Lyases,OC1=CC(C(O)=O)=CC=C1O
Compound_12,Carbonic anhydrase VII,Lyases,OC1=CC(C(O)=O)=CC=C1O
Compound_29,Carbonic anhydrase IV,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase XII,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase IX,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase II,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase II,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase IX,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase XIV,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase XIV,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase XII,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase IV,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase XIV,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase I,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase VI,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase XII,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase IX,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase II,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_29,Carbonic anhydrase II,Lyases,O=S(C1=CC(N)=CC=C1)(N)=O
Compound_47,Cytochrome P450 2D6,Oxidoreductases,FC(C(C=C1N2CCCN3CCN(C)CC3)=CC=C1SC4=C2C=CC=C4)(F)F
Compound_47,Histamine H1 receptor,GPCR,FC(C(C=C1N2CCCN3CCN(C)CC3)=CC=C1SC4=C2C=CC=C4)(F)F
Compound_47,Cytochrome P450 2D6,Oxidoreductases,FC(C(C=C1N2CCCN3CCN(C)CC3)=CC=C1SC4=C2C=CC=C4)(F)F
Compound_59,DNA damage-inducible transcript 3 protein,Other,O=C(C1=CC=C([N+]([O-])=O)O1)NC2=CC=C(S(N3CCC(Cl)CC3)(=O)=O)C=C2
Compound_59,DNA damage-inducible transcript 3 protein,Other,O=C(C1=CC=C([N+]([O-])=O)O1)NC2=CC=C(S(N3CCC(Cl)CC3)(=O)=O)C=C2
Compound_61,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
Compound_61,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
Compound_61,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
Compound_61,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC(C)=CC=C3
